project_id,project_name,project_type,business_unit,methodology,priority_level,planned_budget_usd,actual_cost_usd,cost_variance_percent,schedule_variance_percent,schedule_variance_days,spi,cpi,planned_value_usd,earned_value_usd,completed_tasks_percent,open_risks_count,open_issues_count,scope_changes_count,resource_utilization_percent,stakeholder_sentiment_score,risk_score,status,recovery_priority,expected_recovery_timeline,recommended_action,start_date,planned_end_date,forecast_end_date
PRJ-0176,Cloud Migration 176,Cloud Migration,Operations,Hybrid,Critical,1253720,1426106.5,13.75,15.61,19,0.92,0.91,915215.6,841998.35,73,4,5,4,87,3.1,91.69,Red,Critical,6-8 weeks,,2026-01-10,2026-06-29,2026-07-18
PRJ-0177,Business Intelligence Dashboard 177,Business Intelligence Dashboard,HR,Hybrid,Medium,2824082,3698135.38,30.95,22.13,36,0.69,0.77,1214355.26,837905.13,43,11,10,10,92,2.8,174.21,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-30,2026-11-16,2026-12-22
PRJ-0178,Data Governance Program 178,Data Governance Program,IT,Agile,Medium,1432159,1546588.5,7.99,11.66,23,0.86,0.92,887938.58,763627.18,62,6,5,3,92,3.8,81.55,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2026-02-25,2026-07-10,2026-08-02
PRJ-0179,Mobile App Development 179,Mobile App Development,HR,Agile,Medium,885012,958556.5,8.31,7.08,8,0.85,0.89,601808.16,511536.94,68,5,6,5,88,3.3,81.08,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-02-21,2025-11-30,2025-12-08
PRJ-0180,Network Modernization 180,Network Modernization,Enterprise PMO,Hybrid,High,157289,162621.1,3.39,-1.77,-3,1.0,1.09,125831.2,125831.2,80,2,1,1,67,4.7,16.47,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-06-23,2025-11-07,2025-11-07
PRJ-0181,Digital Workplace Rollout 181,Digital Workplace Rollout,Enterprise PMO,Waterfall,High,765386,752527.52,-1.68,4.23,-1,0.97,1.01,642924.24,623636.51,84,3,2,2,71,4.3,28.6,Amber,Low,2-4 weeks,,2025-01-26,2025-06-14,2025-06-14
PRJ-0182,Payment Platform Upgrade 182,Payment Platform Upgrade,Enterprise PMO,Hybrid,Medium,84000,84352.8,0.42,0.06,7,1.04,1.03,68040.0,70761.6,81,0,1,0,82,4.3,10.38,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-31,2026-01-09,2026-01-16
PRJ-0183,Cybersecurity Program 183,Cybersecurity Program,Sales,Hybrid,Medium,1361509,1602904.55,17.73,29.51,36,0.69,0.69,490143.24,338198.84,36,16,8,7,99,2.2,179.94,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-03-05,2026-09-26,2026-11-01
PRJ-0184,Infrastructure Refresh 184,Infrastructure Refresh,Enterprise PMO,Agile,High,329741,369342.89,12.01,14.08,21,0.95,0.9,237413.52,225542.84,72,4,6,5,90,3.6,91.92,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-10-21,2026-09-19,2026-10-10
PRJ-0185,License Optimization 185,License Optimization,HR,Agile,Medium,395661,496712.82,25.54,37.71,34,0.63,0.77,142437.96,89735.91,36,11,11,6,94,1.6,189.77,Red,Critical,6-8 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-12-16,2026-04-25,2026-05-29
PRJ-0186,Business Intelligence Dashboard 186,Business Intelligence Dashboard,Procurement,Waterfall,High,690826,752171.35,8.88,13.27,10,0.85,0.9,497394.72,422785.51,72,6,5,5,82,3.7,80.51,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2026-02-05,2027-01-28,2027-02-07
PRJ-0187,Business Intelligence Dashboard 187,Business Intelligence Dashboard,Finance,Agile,Low,360143,411715.48,14.32,11.63,11,0.93,0.94,237694.38,221055.77,66,7,5,5,92,3.4,100.8,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload; Freeze non-critical scope changes,2025-01-20,2025-12-18,2025-12-29
PRJ-0188,ITSM Transformation 188,ITSM Transformation,Sales,Agile,High,992467,1055488.65,6.35,14.9,18,0.92,0.85,694726.9,639148.75,70,6,5,2,87,3.7,76.09,Red,Critical,6-8 weeks,,2025-06-09,2026-02-09,2026-02-27
PRJ-0189,Infrastructure Refresh 189,Infrastructure Refresh,HR,Waterfall,High,1206122,1429857.63,18.55,39.41,53,0.78,0.67,615122.22,479795.33,51,10,11,8,95,2.8,178.59,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-15,2026-11-09,2027-01-01
PRJ-0190,Network Modernization 190,Network Modernization,Marketing,Waterfall,High,246694,240575.99,-2.48,2.97,3,0.98,1.08,236826.24,232089.72,96,0,1,0,68,4.8,7.46,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-17,2025-08-22,2025-08-25
PRJ-0191,Identity Access Management 191,Identity Access Management,IT,Waterfall,High,566768,572662.39,1.04,2.45,-2,1.04,0.99,527094.24,548178.01,93,3,1,1,80,4.6,20.13,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-25,2025-12-16,2025-12-16
PRJ-0192,Infrastructure Refresh 192,Infrastructure Refresh,Finance,Agile,Medium,680056,702089.81,3.24,-0.5,0,1.04,1.05,584848.16,608242.09,86,3,0,2,62,4.5,21.39,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-28,2026-05-04,2026-05-04
PRJ-0193,ITSM Transformation 193,ITSM Transformation,Enterprise PMO,Waterfall,Medium,790595,888707.84,12.41,13.09,16,0.89,0.88,521792.7,464395.5,66,7,5,3,89,3.3,91.91,Red,Critical,6-8 weeks,,2026-02-27,2027-02-18,2027-03-06
PRJ-0194,Digital Workplace Rollout 194,Digital Workplace Rollout,Risk & Compliance,Hybrid,Low,1819633,2304929.12,26.67,30.66,43,0.67,0.62,527693.57,353554.69,29,14,12,10,97,2.7,197.96,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-12-02,2026-07-13,2026-08-25
PRJ-0195,AI Adoption Program 195,AI Adoption Program,Procurement,Agile,High,2766722,3421881.77,23.68,24.35,33,0.77,0.75,1189690.46,916061.65,43,13,14,8,98,2.5,184.37,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-06-25,2025-12-29,2026-01-31
PRJ-0196,License Optimization 196,License Optimization,Marketing,Hybrid,Medium,1753645,2203279.58,25.64,36.44,60,0.64,0.62,578702.85,370369.82,33,13,16,6,97,2.4,200.14,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-07-01,2026-01-20,2026-03-21
PRJ-0197,License Optimization 197,License Optimization,Sales,Agile,Critical,694015,689503.9,-0.65,3.96,4,0.97,1.05,666254.4,646266.77,96,0,3,0,78,4.1,18.35,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-29,2026-07-11,2026-07-15
PRJ-0198,AI Adoption Program 198,AI Adoption Program,Risk & Compliance,Agile,Critical,290026,289271.93,-0.26,4.91,4,0.98,1.08,240721.58,235907.15,83,0,3,1,82,5.0,17.58,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-21,2026-07-29,2026-08-02
PRJ-0199,ERP Implementation 199,ERP Implementation,IT,Hybrid,Medium,1358544,1533524.47,12.88,10.9,10,0.85,0.89,923809.92,785238.43,68,7,6,5,88,3.0,98.93,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-04-13,2026-04-11,2026-04-21
PRJ-0200,Customer Portal Revamp 200,Customer Portal Revamp,IT,Waterfall,High,98786,101166.74,2.41,2.39,0,0.99,1.08,85943.82,85084.38,87,1,0,1,78,4.6,14.7,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-03,2025-07-28,2025-07-28
PRJ-0201,ERP Implementation 201,ERP Implementation,Sales,Waterfall,Medium,629577,627688.27,-0.3,4.22,-1,1.0,1.09,560323.53,560323.53,89,1,1,1,62,4.2,19.39,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-19,2025-09-23,2025-09-23
PRJ-0202,Cloud Migration 202,Cloud Migration,Enterprise PMO,Hybrid,Low,228356,249775.79,9.38,12.4,9,0.91,0.85,132446.48,120526.3,58,4,3,2,88,3.4,70.98,Red,High,6-8 weeks,,2025-10-08,2026-03-10,2026-03-19
PRJ-0203,Infrastructure Refresh 203,Infrastructure Refresh,HR,Hybrid,Medium,169513,184277.58,8.71,12.62,24,0.87,0.91,100012.67,87011.02,59,7,3,2,86,3.1,78.16,Red,Critical,6-8 weeks,,2025-09-12,2026-02-03,2026-02-27
PRJ-0204,Procurement Automation 204,Procurement Automation,Enterprise PMO,Agile,Medium,291469,291060.94,-0.14,0.87,-1,0.96,1.03,244833.96,235040.6,84,3,2,0,62,4.0,20.63,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-26,2025-07-11,2025-07-11
PRJ-0205,Data Governance Program 205,Data Governance Program,HR,Agile,Low,186210,194105.3,4.24,2.51,4,1.08,1.0,171313.2,185018.26,92,0,0,0,63,4.9,9.15,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-15,2026-11-16,2026-11-20
PRJ-0206,Mobile App Development 206,Mobile App Development,Risk & Compliance,Hybrid,Low,246236,261231.77,6.09,7.38,13,0.88,0.94,182214.64,160348.88,74,6,8,2,87,3.7,72.0,Red,High,6-8 weeks,Create issue war-room and assign owners,2025-02-28,2025-08-30,2025-09-12
PRJ-0207,Payment Platform Upgrade 207,Payment Platform Upgrade,Risk & Compliance,Waterfall,Medium,581476,601246.18,3.4,2.54,-1,0.97,1.06,459366.04,445585.06,79,1,0,1,80,4.5,16.88,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-03,2026-02-11,2026-02-11
PRJ-0208,Digital Workplace Rollout 208,Digital Workplace Rollout,Risk & Compliance,Hybrid,High,798008,998946.41,25.18,28.23,51,0.7,0.61,359103.6,251372.52,45,9,18,9,95,2.9,185.72,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-09-23,2026-06-13,2026-08-03
PRJ-0209,Vendor Management Platform 209,Vendor Management Platform,Enterprise PMO,Agile,High,442544,452766.77,2.31,2.49,-1,1.06,1.04,429267.68,455023.74,97,0,0,2,67,4.5,16.01,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-11,2026-08-07,2026-08-07
PRJ-0210,ITSM Transformation 210,ITSM Transformation,Finance,Hybrid,Medium,371668,362004.63,-2.6,-0.44,7,1.01,1.07,297334.4,300307.74,80,3,3,2,76,4.1,26.7,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-17,2026-07-28,2026-08-04
PRJ-0211,Mobile App Development 211,Mobile App Development,Finance,Waterfall,High,503037,504546.11,0.3,1.9,-3,1.06,1.07,487945.89,517222.64,97,2,1,2,83,4.5,23.13,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-06,2026-03-27,2026-03-27
PRJ-0212,ERP Implementation 212,ERP Implementation,Procurement,Waterfall,Medium,1408188,1552668.09,10.26,12.57,22,0.85,0.92,873076.56,742115.08,62,4,5,4,92,3.9,82.65,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-10-08,2026-06-04,2026-06-26
PRJ-0213,Vendor Management Platform 213,Vendor Management Platform,Customer Experience,Hybrid,Low,227271,235384.57,3.57,3.2,3,0.97,1.05,190907.64,185180.41,84,0,3,0,76,4.8,16.04,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-02,2026-07-08,2026-07-11
PRJ-0214,Mobile App Development 214,Mobile App Development,Finance,Hybrid,Low,1384826,1483287.13,7.11,14.92,22,0.91,0.95,817047.34,743513.08,59,7,3,2,90,3.8,78.03,Red,Critical,6-8 weeks,,2025-09-18,2026-08-21,2026-09-12
PRJ-0215,ITSM Transformation 215,ITSM Transformation,Enterprise PMO,Agile,High,769461,783311.3,1.8,4.18,5,1.07,1.02,746377.17,798623.57,97,1,2,1,72,5.0,17.09,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-17,2027-01-04,2027-01-09
PRJ-0216,Data Warehouse Migration 216,Data Warehouse Migration,Operations,Agile,High,776866,882442.09,13.59,11.48,18,0.92,0.94,582649.5,536037.54,75,5,4,3,91,3.6,84.03,Red,Critical,6-8 weeks,,2025-12-11,2026-09-03,2026-09-21
PRJ-0217,Data Warehouse Migration 217,Data Warehouse Migration,Operations,Hybrid,High,201011,207222.24,3.09,1.94,6,1.03,1.05,182920.01,188407.61,91,2,3,0,78,4.1,24.43,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-16,2025-12-26,2026-01-01
PRJ-0218,ERP Implementation 218,ERP Implementation,IT,Agile,High,380538,389937.29,2.47,-0.98,-3,1.04,1.0,361511.1,375971.54,95,0,2,1,65,4.6,13.16,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-16,2026-08-08,2026-08-08
PRJ-0219,DevOps Enablement 219,DevOps Enablement,Risk & Compliance,Agile,High,753221,845415.25,12.24,6.47,20,0.88,0.95,572447.96,503754.2,76,6,7,2,82,3.7,70.7,Red,High,6-8 weeks,,2025-11-14,2026-05-26,2026-06-15
PRJ-0220,Identity Access Management 220,Identity Access Management,Procurement,Waterfall,High,1383933,1535058.48,10.92,12.03,14,0.87,0.86,1051789.08,915056.5,76,4,4,3,93,3.5,82.04,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-01-21,2025-10-31,2025-11-14
PRJ-0221,Business Intelligence Dashboard 221,Business Intelligence Dashboard,Sales,Hybrid,Low,684807,726237.82,6.05,10.66,12,0.84,0.94,506757.18,425676.03,74,4,8,4,89,3.7,79.42,Red,Critical,6-8 weeks,Rebaseline project schedule; Create issue war-room and assign owners,2025-02-07,2025-11-07,2025-11-19
PRJ-0222,Mobile App Development 222,Mobile App Development,Marketing,Agile,Medium,609678,599130.57,-1.73,1.8,3,0.97,0.99,512129.52,496765.63,84,2,2,1,71,4.2,20.74,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-01,2026-08-28,2026-08-31
PRJ-0223,DevOps Enablement 223,DevOps Enablement,IT,Agile,Medium,753462,767853.12,1.91,2.35,-3,1.04,1.0,610304.22,634716.39,81,3,2,2,71,4.0,30.85,Amber,Low,2-4 weeks,,2026-02-25,2027-02-14,2027-02-14
PRJ-0224,Customer Portal Revamp 224,Customer Portal Revamp,Marketing,Waterfall,Medium,763176,752033.63,-1.46,1.6,-2,0.98,1.09,725017.2,710516.86,95,0,0,0,83,4.6,8.58,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-17,2026-07-04,2026-07-04
PRJ-0225,Business Intelligence Dashboard 225,Business Intelligence Dashboard,Finance,Agile,High,2075519,2662475.77,28.28,38.61,34,0.61,0.76,560390.13,341837.98,27,10,9,5,94,2.6,176.73,Red,Critical,6-8 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-10-22,2026-02-25,2026-03-31
PRJ-0226,License Optimization 226,License Optimization,Sales,Agile,Medium,411773,399996.29,-2.86,2.71,5,0.96,1.06,329418.4,316241.66,80,0,0,1,78,4.1,13.72,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-07,2026-07-09,2026-07-14
PRJ-0227,CRM Modernization 227,CRM Modernization,Sales,Hybrid,Medium,772818,751565.51,-2.75,-0.91,0,0.98,1.01,734177.1,719493.56,95,2,1,1,83,4.9,14.1,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-06,2025-10-14,2025-10-14
PRJ-0228,DevOps Enablement 228,DevOps Enablement,Marketing,Agile,Low,976449,1082198.43,10.83,15.47,17,0.86,0.92,761630.22,655001.99,78,6,4,5,92,3.8,93.91,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload; Freeze non-critical scope changes,2025-03-24,2025-09-02,2025-09-19
PRJ-0229,ITSM Transformation 229,ITSM Transformation,Procurement,Hybrid,Medium,783571,810212.41,3.4,3.97,5,1.02,1.04,681706.77,695340.91,87,0,2,0,68,4.7,15.64,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-06-19,2026-05-24,2026-05-29
PRJ-0230,Customer Portal Revamp 230,Customer Portal Revamp,Operations,Hybrid,Medium,153199,159633.36,4.2,0.22,4,1.0,1.05,147071.04,147071.04,96,1,2,1,75,4.2,21.23,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-07,2026-01-12,2026-01-16
PRJ-0231,License Optimization 231,License Optimization,Risk & Compliance,Agile,Medium,845337,962838.84,13.9,10.63,19,0.93,0.89,490295.46,455974.78,58,5,8,2,86,3.8,81.2,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2025-10-03,2026-03-13,2026-04-01
PRJ-0232,Procurement Automation 232,Procurement Automation,Sales,Hybrid,High,189070,214878.06,13.65,12.32,20,0.92,0.86,105879.2,97408.86,56,8,5,5,92,3.7,101.0,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Add temporary resources or rebalance workload; Freeze non-critical scope changes,2025-07-20,2026-04-23,2026-05-13
PRJ-0233,License Optimization 233,License Optimization,Enterprise PMO,Hybrid,Medium,615205,601178.33,-2.28,0.55,-3,1.04,1.08,596748.85,620618.8,97,1,1,1,67,4.2,14.61,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-12,2026-06-25,2026-06-25
PRJ-0234,Network Modernization 234,Network Modernization,Customer Experience,Agile,High,357198,357055.12,-0.04,-1.7,0,1.02,1.07,321478.2,327907.76,90,3,3,0,63,5.0,13.5,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-22,2025-11-04,2025-11-04
PRJ-0235,Vendor Management Platform 235,Vendor Management Platform,Sales,Waterfall,Medium,262294,262320.23,0.01,0.65,6,1.04,1.08,246556.36,256418.61,94,2,3,0,78,4.4,16.66,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-07,2026-05-31,2026-06-06
PRJ-0236,Network Modernization 236,Network Modernization,Enterprise PMO,Agile,Critical,321162,313518.34,-2.38,2.5,0,0.98,0.98,311527.14,305296.6,97,0,1,1,72,4.7,10.65,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-12,2026-11-13,2026-11-13
PRJ-0237,Network Modernization 237,Network Modernization,HR,Agile,Medium,197072,213212.2,8.19,7.28,13,0.85,0.9,143862.56,122283.18,73,5,3,3,86,3.8,62.99,Red,High,6-8 weeks,,2025-07-27,2026-07-16,2026-07-29
PRJ-0238,Digital Workplace Rollout 238,Digital Workplace Rollout,Enterprise PMO,Hybrid,Critical,744447,852615.15,14.53,8.17,23,0.94,0.86,603002.07,566821.95,81,7,7,3,94,3.5,95.96,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-11-16,2026-05-18,2026-06-10
PRJ-0239,Vendor Management Platform 239,Vendor Management Platform,Sales,Agile,High,2752042,3501147.83,27.22,22.29,49,0.63,0.6,1596184.36,1005596.15,58,15,10,9,93,1.7,186.84,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-02-06,2026-05-26,2026-07-14
PRJ-0240,DevOps Enablement 240,DevOps Enablement,Marketing,Hybrid,Low,1415578,1569168.21,10.85,6.01,21,0.9,0.88,792723.68,713451.31,56,8,6,3,94,3.4,90.03,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Add temporary resources or rebalance workload,2025-06-29,2026-04-10,2026-05-01
PRJ-0241,Data Governance Program 241,Data Governance Program,Enterprise PMO,Agile,Low,323807,337665.94,4.28,-1.41,6,1.07,1.02,271997.88,291037.73,84,0,0,2,78,4.1,18.34,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-12,2025-10-13,2025-10-19
PRJ-0242,Procurement Automation 242,Procurement Automation,Customer Experience,Agile,Low,693805,687075.09,-0.97,3.98,3,1.03,1.05,686866.95,707472.96,99,3,1,1,79,4.8,19.27,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-02,2026-03-05,2026-03-08
PRJ-0243,Customer Portal Revamp 243,Customer Portal Revamp,Marketing,Hybrid,Medium,441083,455153.55,3.19,0.79,-1,1.06,1.05,374920.55,397415.78,85,3,1,0,68,4.5,18.36,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-15,2026-11-05,2026-11-05
PRJ-0244,DevOps Enablement 244,DevOps Enablement,Enterprise PMO,Hybrid,High,746764,724659.79,-2.96,-1.36,-1,1.02,1.04,597411.2,609359.42,80,0,2,0,73,4.1,11.2,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-01-06,2026-04-25,2026-04-25
PRJ-0245,Payment Platform Upgrade 245,Payment Platform Upgrade,Risk & Compliance,Hybrid,High,1402990,1494464.95,6.52,13.74,13,0.91,0.89,855823.9,778799.75,61,8,5,3,82,3.7,77.29,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee,2025-09-22,2026-09-08,2026-09-21
PRJ-0246,License Optimization 246,License Optimization,Enterprise PMO,Agile,Low,80301,84163.48,4.81,-1.39,1,1.05,1.01,72270.9,75884.44,90,3,1,2,62,4.7,23.67,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-16,2025-06-21,2025-06-22
PRJ-0247,DevOps Enablement 247,DevOps Enablement,Sales,Hybrid,High,878708,1007614.46,14.67,8.77,14,0.89,0.88,483289.4,430127.57,55,6,4,5,90,3.1,93.2,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-09-15,2026-01-20,2026-02-03
PRJ-0248,AI Adoption Program 248,AI Adoption Program,Customer Experience,Waterfall,High,2506130,3294307.88,31.45,30.22,53,0.82,0.73,1002452.0,822010.64,40,14,15,10,99,2.8,210.53,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-09-04,2025-12-17,2026-02-08
PRJ-0249,Cybersecurity Program 249,Cybersecurity Program,Sales,Agile,High,1214396,1593287.55,31.2,26.49,47,0.72,0.6,497902.36,358489.7,41,12,12,5,98,2.4,181.48,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-02-08,2025-10-31,2025-12-17
PRJ-0250,DevOps Enablement 250,DevOps Enablement,Operations,Hybrid,Medium,1378585,1646995.5,19.47,34.16,37,0.71,0.65,551434.0,391518.14,40,13,11,6,95,2.7,175.17,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-03-21,2025-12-18,2026-01-24
PRJ-0251,Cybersecurity Program 251,Cybersecurity Program,Finance,Waterfall,High,1437288,1524387.65,6.06,14.57,9,0.93,0.88,934237.2,868840.6,65,7,7,4,89,3.2,94.01,Red,Critical,6-8 weeks,,2025-05-24,2026-05-10,2026-05-19
PRJ-0252,Payment Platform Upgrade 252,Payment Platform Upgrade,Procurement,Hybrid,Low,523732,528078.98,0.83,1.79,5,1.0,1.08,434697.56,434697.56,83,3,0,2,78,4.5,20.82,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-07,2025-04-11,2025-04-16
PRJ-0253,Procurement Automation 253,Procurement Automation,Risk & Compliance,Hybrid,Medium,694631,747978.66,7.68,8.63,16,0.89,0.91,458456.46,408026.25,66,5,6,5,85,3.4,78.23,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-07-06,2026-04-12,2026-04-28
PRJ-0254,Payment Platform Upgrade 254,Payment Platform Upgrade,Sales,Hybrid,High,1208678,1589048.97,31.47,33.58,40,0.73,0.8,447210.86,326463.93,37,11,10,8,92,1.7,192.52,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-03-10,2026-02-18,2026-03-30
PRJ-0255,Vendor Management Platform 255,Vendor Management Platform,Marketing,Hybrid,High,669444,695351.48,3.87,-1.67,-2,1.04,0.97,575721.84,598750.71,86,3,0,1,72,4.3,20.74,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-14,2026-07-15,2026-07-15
PRJ-0256,DevOps Enablement 256,DevOps Enablement,Sales,Agile,Medium,792597,829849.06,4.7,-0.61,6,1.04,1.04,689559.39,717141.77,87,2,2,2,78,4.5,24.64,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-10,2025-12-25,2025-12-31
PRJ-0257,Payment Platform Upgrade 257,Payment Platform Upgrade,Enterprise PMO,Agile,High,255715,261136.16,2.12,4.5,3,1.04,1.04,204572.0,212754.88,80,0,1,1,69,4.3,18.99,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-30,2026-08-26,2026-08-29
PRJ-0258,Infrastructure Refresh 258,Infrastructure Refresh,Enterprise PMO,Hybrid,Medium,460805,474536.99,2.98,1.65,4,1.01,0.99,359427.9,363022.18,78,1,1,2,70,4.9,17.02,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-18,2025-08-26,2025-08-30
PRJ-0259,ITSM Transformation 259,ITSM Transformation,Risk & Compliance,Agile,Low,2550297,2984357.55,17.02,34.73,58,0.78,0.62,1045621.77,815584.98,41,11,9,10,98,1.9,185.67,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-13,2026-08-17,2026-10-14
PRJ-0260,AI Adoption Program 260,AI Adoption Program,HR,Hybrid,Low,209918,223184.82,6.32,9.57,18,0.94,0.89,172132.76,161804.79,82,8,5,5,84,3.9,78.23,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Freeze non-critical scope changes,2025-10-30,2026-04-28,2026-05-16
PRJ-0261,Digital Workplace Rollout 261,Digital Workplace Rollout,HR,Hybrid,High,1247774,1394512.22,11.76,11.34,19,0.89,0.86,711231.18,632995.75,57,7,5,4,88,3.2,91.55,Red,Critical,6-8 weeks,,2025-01-06,2025-09-08,2025-09-27
PRJ-0262,Cloud Migration 262,Cloud Migration,Marketing,Waterfall,High,571989,579310.46,1.28,2.81,4,1.07,1.03,446151.42,477382.02,78,3,2,2,69,4.8,24.29,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-07,2026-01-13,2026-01-17
